cu,stats,duration
0.000,"[3,0,0,0,0,12,1]",117916
0.000,"[3,106590,25.146,0,0,2144,1]",3559167
0.000,"[3,0,0,0,0,148,1]",55667
0.000,"[3,0,0,0,0,12,0]",137542
0.000,"[3,0,0,0,0,12,0]",20459
0.000,"[3,0,0,0,0,12,1]",24167
0.000,"[3,0,0,0,0,148,1]",31625
0.000,"[3,0,0,0,0,12,0]",23125
0.000,"[3,0,0,0,0,148,1]",53417
0.000,"[3,0,0,0,0,12,1]",18291
0.000,"[3,0,0,0,0,12,0]",91875
0.000,"[3,0,0,0,0,12,0]",169167
0.000,"[3,0,0,0,0,12,1]",107083
0.000,"[3,0,0,0,0,12,0]",24500
0.000,"[3,0,0,0,0,12,0]",78667
0.000,"[3,0,0,0,0,12,0]",13083
0.000,"[3,0,0,0,0,148,1]",49167
0.000,"[3,22199,16.936,0,0,0,1]",889957
0.000,"[3,0,0,0,0,12,0]",73083
0.000,"[3,0,0,0,0,12,0]",176250
0.000,"[3,0,0,0,0,12,0]",23583
0.000,"[3,0,0,0,0,12,0]",93750
0.000,"[3,0,0,0,0,12,1]",156250
0.000,"[3,0,0,0,0,12,0]",81125
0.000,"[3,0,0,0,0,12,0]",19833
0.000,"[3,0,0,0,0,12,0]",124959
0.000,"[3,0,0,0,0,12,0]",93000
0.000,"[3,0,0,0,0,12,1]",21167
0.000,"[3,0,0,0,0,12,0]",185334
0.000,"[3,0,0,0,0,12,0]",169958
0.000,"[3,0,0,0,0,12,0]",201417
0.000,"[3,46957,13.375,0,0,0,1]",1860501
0.000,"[3,0,0,0,0,12,0]",23958
0.000,"[3,0,0,0,0,12,0]",22458
0.000,"[3,0,0,0,0,12,0]",138834
0.000,"[3,0,0,0,0,12,1]",3388375
0.000,"[3,24244,16.958,0,0,0,1]",1109793
0.000,"[3,0,0,0,0,12,0]",96083
0.000,"[3,0,0,0,0,12,1]",122458
0.000,"[3,0,0,0,0,148,1]",45334
0.000,"[3,0,0,0,0,12,0]",108375
0.000,"[3,0,0,0,0,12,1]",112334
0.000,"[3,0,0,0,0,148,1]",55542
0.000,"[3,0,0,0,0,12,0]",43042
0.000,"[3,157632,42949.881,0,0,438004,1]",11184002
0.000,"[3,0,0,0,0,12,0]",37417
0.000,"[3,0,0,0,0,12,1]",104500
0.000,"[3,0,0,0,0,12,1]",21000
0.000,"[3,0,0,0,0,148,1]",44791
0.000,"[3,0,0,0,0,12,0]",227458
0.000,"[3,0,0,0,0,12,0]",72834
0.000,"[3,0,0,0,0,148,1]",59166
0.000,"[3,61008,148.088,0,0,2610,1]",1454457
0.000,"[3,0,0,0,0,12,0]",551667
0.000,"[3,0,0,0,0,12,0]",120917
0.000,"[3,0,0,0,0,148,1]",42292
0.000,"[3,0,0,0,0,12,0]",26875
0.000,"[3,0,0,0,0,148,1]",41334
0.000,"[3,0,0,0,0,12,0]",85500
0.000,"[3,0,0,0,0,12,0]",121625
0.000,"[3,0,0,0,0,148,1]",44292
0.000,"[3,21828,45136.912,0,0,62572,1]",1521999
0.000,"[3,0,0,0,0,12,0]",28958
0.000,"[3,0,0,0,0,148,1]",43875
0.000,"[3,0,0,0,0,148,1]",48875
0.000,"[3,0,0,0,0,12,1]",124458
0.000,"[3,5375,21.996,0,0,0,1]",279500
0.000,"[3,0,0,0,0,12,1]",179708
0.000,"[3,0,0,0,0,148,1]",63375
0.000,"[3,61251,153.025,0,0,2179,1]",1874249
0.000,"[3,31044,17.133,0,0,0,1]",1656792
0.000,"[3,0,0,0,0,12,0]",145875
